Explainer,acc_initial_right,acc_initial_wrong,n,mask,Detector
Random,0.27350427350427353,0.8717948717948718,40,True,DetectorDetectGPT
SHAP,0.3700440528634361,0.8333333333333334,40,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,50,True,DetectorDetectGPT
Random,0.21008403361344538,0.7804878048780488,50,True,DetectorDetectGPT
Random,0.2767857142857143,0.7560975609756098,50,True,DetectorDetectGPT
Random,0.28125,0.7857142857142857,50,True,DetectorDetectGPT
Random,0.2169811320754717,0.7428571428571429,50,True,DetectorDetectGPT
Random,0.2222222222222222,0.717948717948718,50,True,DetectorDetectGPT
SHAP,0.3524229074889868,0.8076923076923077,50,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,60,True,DetectorDetectGPT
Random,0.21008403361344538,0.6341463414634146,60,True,DetectorDetectGPT
Random,0.23214285714285715,0.5609756097560976,60,True,DetectorDetectGPT
Random,0.20833333333333334,0.6666666666666666,60,True,DetectorDetectGPT
Random,0.16981132075471697,0.5428571428571428,60,True,DetectorDetectGPT
Random,0.20512820512820512,0.5897435897435898,60,True,DetectorDetectGPT
SHAP,0.3568281938325991,0.8076923076923077,60,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,70,True,DetectorDetectGPT
Random,0.24369747899159663,0.5365853658536586,70,True,DetectorDetectGPT
Random,0.24107142857142858,0.36585365853658536,70,True,DetectorDetectGPT
Random,0.22916666666666666,0.5238095238095238,70,True,DetectorDetectGPT
Random,0.19811320754716982,0.34285714285714286,70,True,DetectorDetectGPT
Random,0.18803418803418803,0.4358974358974359,70,True,DetectorDetectGPT
SHAP,0.3524229074889868,0.782051282051282,70,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,80,True,DetectorDetectGPT
Random,0.29411764705882354,0.3902439024390244,80,True,DetectorDetectGPT
Random,0.24107142857142858,0.1951219512195122,80,True,DetectorDetectGPT
Random,0.23958333333333334,0.2619047619047619,80,True,DetectorDetectGPT
Random,0.22641509433962265,0.22857142857142856,80,True,DetectorDetectGPT
Random,0.2905982905982906,0.3076923076923077,80,True,DetectorDetectGPT
SHAP,0.3524229074889868,0.782051282051282,80,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,90,True,DetectorDetectGPT
Random,0.3865546218487395,0.21951219512195122,90,True,DetectorDetectGPT
Random,0.3392857142857143,0.14634146341463414,90,True,DetectorDetectGPT
Random,0.3125,0.19047619047619047,90,True,DetectorDetectGPT
Random,0.32075471698113206,0.14285714285714285,90,True,DetectorDetectGPT
Random,0.4188034188034188,0.15384615384615385,90,True,DetectorDetectGPT
SHAP,0.3524229074889868,0.782051282051282,90,True,DetectorDetectGPT
Anchor,0.8161434977578476,1.0,100,True,DetectorDetectGPT
Random,0.5630252100840336,0.1951219512195122,100,True,DetectorDetectGPT
Random,0.48214285714285715,0.12195121951219512,100,True,DetectorDetectGPT
Random,0.4791666666666667,0.16666666666666666,100,True,DetectorDetectGPT
Random,0.5566037735849056,0.11428571428571428,100,True,DetectorDetectGPT
Random,0.5470085470085471,0.15384615384615385,100,True,DetectorDetectGPT
SHAP,0.3524229074889868,0.782051282051282,100,True,DetectorDetectGPT
