Explainer,acc_initial_right,acc_initial_wrong,n,mask,Detector
Anchor,0.6546762589928058,,50,True,DetectorRadford
Random,0.3310810810810811,0.16666666666666666,50,True,DetectorRadford
Random,0.34532374100719426,0.42857142857142855,50,True,DetectorRadford
Random,0.4122137404580153,0.2857142857142857,50,True,DetectorRadford
Random,0.3082706766917293,0.375,50,True,DetectorRadford
Random,0.35664335664335667,0.46153846153846156,50,True,DetectorRadford
SHAP,0.2099644128113879,0.041666666666666664,50,True,DetectorRadford
Anchor,0.6546762589928058,,60,True,DetectorRadford
Random,0.27702702702702703,0.25,60,True,DetectorRadford
Random,0.2733812949640288,0.35714285714285715,60,True,DetectorRadford
Random,0.3511450381679389,0.2857142857142857,60,True,DetectorRadford
Random,0.24060150375939848,0.25,60,True,DetectorRadford
Random,0.2937062937062937,0.3076923076923077,60,True,DetectorRadford
SHAP,0.1601423487544484,0.08333333333333333,60,True,DetectorRadford
Anchor,0.6546762589928058,,70,True,DetectorRadford
Random,0.25675675675675674,0.25,70,True,DetectorRadford
Random,0.2733812949640288,0.21428571428571427,70,True,DetectorRadford
Random,0.2824427480916031,0.2857142857142857,70,True,DetectorRadford
Random,0.23308270676691728,0.125,70,True,DetectorRadford
Random,0.27972027972027974,0.46153846153846156,70,True,DetectorRadford
SHAP,0.17437722419928825,0.041666666666666664,70,True,DetectorRadford
Anchor,0.6546762589928058,,80,True,DetectorRadford
Random,0.25,0.25,80,True,DetectorRadford
Random,0.23741007194244604,0.14285714285714285,80,True,DetectorRadford
Random,0.22900763358778625,0.14285714285714285,80,True,DetectorRadford
Random,0.16541353383458646,0.125,80,True,DetectorRadford
Random,0.1888111888111888,0.3076923076923077,80,True,DetectorRadford
SHAP,0.1494661921708185,0.0,80,True,DetectorRadford
Anchor,0.6546762589928058,,90,True,DetectorRadford
Random,0.23648648648648649,0.25,90,True,DetectorRadford
Random,0.18705035971223022,0.2857142857142857,90,True,DetectorRadford
Random,0.24427480916030533,0.14285714285714285,90,True,DetectorRadford
Random,0.18045112781954886,0.125,90,True,DetectorRadford
Random,0.1888111888111888,0.23076923076923078,90,True,DetectorRadford
SHAP,0.1423487544483986,0.0,90,True,DetectorRadford
Anchor,0.6546762589928058,,100,True,DetectorRadford
Random,0.25675675675675674,0.4166666666666667,100,True,DetectorRadford
Random,0.2733812949640288,0.2857142857142857,100,True,DetectorRadford
Random,0.25190839694656486,0.2857142857142857,100,True,DetectorRadford
Random,0.21804511278195488,0.25,100,True,DetectorRadford
Random,0.2727272727272727,0.15384615384615385,100,True,DetectorRadford
SHAP,0.13523131672597866,0.0,100,True,DetectorRadford
